SL,City,2021,2022,2023,Chargesheeting Rate (2023)
1,Agra,0,0,0,-
2,Amritsar,0,0,0,-
3,Asansol,8,4,3,80.0
4,Aurangabad,2,2,1,-
5,Bhopal,5,19,13,100.0
6,Chandigarh City,0,0,0,-
7,Dhanbad,11,5,5,66.7
8,Durg-Bhilainagar,0,2,3,100.0
9,Faridabad,0,0,0,-
10,Gwalior,11,8,9,100.0
11,Jabalpur,27,35,39,97.5
12,Jamshedpur,19,25,23,50.0
13,Jodhpur,29,43,49,37.5
14,Kannur,2,2,2,100.0
15,Kollam,0,0,0,-
16,Kota,37,53,46,67.4
17,Ludhiana,0,0,0,-
18,Madurai,0,0,0,-
19,Malappuram,1,3,3,66.7
20,Meerut,0,0,0,-
21,Nasik,1,12,7,-
22,Prayagraj,0,0,0,-
23,Raipur,12,9,3,100.0
24,Rajkot,1,12,4,100.0
25,Ranchi,48,38,44,49.1
26,Srinagar,0,0,0,-
27,Thiruvananthapuram,0,1,1,50.0
28,Thrissur,3,0,1,0.0
29,Tiruchirapalli,0,0,0,-
30,Vadodara,15,9,11,100.0
31,Varanasi,0,0,0,-
32,Vasai Virar,4,10,4,50.0
33,Vijayawada,7,16,30,96.7
34,Vishakhapatnam,9,9,3,100.0
